READ1	READ2	READ3	READ4
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
14	7	7	4
0	0	0	0
3	1	7	3
5	3	7	10
0	0	0	0
4	1	4	10
0	1	0	1
0	0	0	0
0	1	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
1391	2026	2355	2181
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
2	4	5	3
0	0	0	0
0	0	1	0
4	5	24	9
0	0	0	0
54	60	75	117
0	0	0	0
0	0	2	0
15	17	15	19
0	5	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	4	4	7
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	5	3	2
0	0	0	0
2137	3259	2240	2196
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
8	26	24	34
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
9	10	14	30
1	5	10	10
1	2	3	1
2	1	0	0
0	0	0	0
0	0	0	0
0	1	0	0
1	1	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	1	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	3	3
0	0	0	0
0	0	0	0
10	20	14	14
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2	2	1
0	0	0	0
0	0	0	0
0	0	3	2
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	3	3
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	3	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
442	521	568	577
428	664	356	353
0	0	0	0
0	0	0	0
0	0	10	3
0	0	0	0
107	167	166	113
5	2	8	9
0	0	0	0
0	0	0	0
0	0	0	0
0	0	1	0
0	1	0	0
0	0	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	0	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	3	36	24
0	0	0	0
0	0	0	0
220	374	220	177
56	82	216	187
31	52	71	51
0	2	0	0
470	723	158	145
0	0	0	1
1	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	6	5	8
0	0	0	0
4	2	3	8
0	0	0	0
1	0	0	0
1	2	0	0
649	1026	502	476
29	34	30	27
178	213	649	589
0	0	0	0
0	0	0	0
3	2	4	3
0	0	0	0
0	0	0	2
0	0	0	0
0	0	0	0
1	0	1	1
37	35	46	55
4	8	3	3
0	0	0	0
0	0	0	0
0	4	7	2
1	3	5	0
0	0	0	0
3	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
8	10	9	6
0	0	0	0
0	0	0	0
0	0	0	3
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
0	0	0	0
0	0	0	0
7	11	7	11
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	2	2	0
0	0	0	0
1	1	1	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
3354	5066	5980	5441
1	4	1	0
0	0	0	0
1	0	0	0
0	0	0	0
8	19	35	23
0	0	0	0
23	33	46	28
2	10	3	2
0	0	0	1
0	0	0	0
27	25	36	53
2	7	1	5
0	0	0	0
0	0	0	0
0	0	0	0
2	5	0	4
0	0	0	0
0	0	0	0
21	37	26	35
0	0	0	1
0	0	0	0
0	0	0	0
445	712	806	770
0	0	1	0
60	66	72	94
0	0	0	0
0	0	0	0
12	21	30	24
0	0	0	0
0	0	0	0
0	0	3	0
0	0	0	0
1	0	0	0
0	0	0	0
0	0	0	0
1	1	2	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	1
0	0	1	0
0	0	0	0
0	0	0	0
0	0	0	0
189	276	197	209
2	8	2	3
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
0	0	0	0
4	4	3	4
0	0	0	0
0	0	0	0
0	0	0	0
3496	5240	7651	7046
0	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	1	0	0
1	1	0	0
0	0	0	0
0	0	0	0
0	0	0	0
25	34	17	11
0	0	0	0
1	0	0	0
3	1	1	2
71	103	45	85
0	1	2	0
0	0	0	0
1	2	2	0
0	0	0	0
14	35	9	9
0	0	0	0
57	86	88	75
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	3	0	3
3	1	3	1
87	119	63	52
1357	1988	2214	2073
9	22	17	19
285	377	217	185
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
10	22	18	16
351	567	516	425
5	7	7	3
0	0	0	0
0	0	0	0
0	2	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
530	685	547	461
0	0	0	0
97	135	120	100
672	996	465	449
0	0	0	0
0	0	0	0
1	0	1	2
0	1	0	2
0	0	0	0
0	0	0	0
0	0	0	0
17	21	36	26
0	0	0	0
4	7	5	10
1	3	0	1
0	0	0	0
46	53	65	48
0	0	0	0
0	0	0	0
0	5	1	0
3	3	3	1
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4	11	9	2
0	1	0	1
2	2	2	3
2804	4271	2785	2467
0	0	0	0
